Effective water- to-cement ratio,Aggregate-to-cement ratio (a/c),RCA replacement ratio (RCA %),Parent concrete strength(MPa),Nominal maximum RCA size(mm),Nominal maximum NA size(mm),Water absorption of RCA(WARCA) (%),Water absorption of NA,Los Angeles abrasion of RCA,Los Angeles abrasion of NA,Compressive strength (f’c) (MPa)
0.34,2.1,100.0,42.71818181818182,20.0,20.0,3.1,1.1553691275167786,36.540740740740745,25.13953488372093,70.5
0.52,2.9,10.0,42.71818181818182,22.0,20.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,46.9
0.55,4.03,100.0,42.71818181818182,21.5609756097561,22.30243902439024,2.7,1.2,36.540740740740745,25.13953488372093,23.0
0.58,4.0,100.0,42.71818181818182,20.0,22.0,5.3,1.1553691275167786,36.540740740740745,25.13953488372093,18.0
0.58,3.2,100.0,42.71818181818182,32.0,25.0,4.4,1.1553691275167786,36.540740740740745,25.13953488372093,40.3
0.53,3.163619047619047,25.0,42.71818181818182,12.0,12.0,6.1,2.0,36.540740740740745,25.13953488372093,41.0
0.45,3.163619047619047,75.0,28.25,25.0,25.0,5.2,2.9,34.0,22.0,26.26
0.5,4.1,40.0,42.71818181818182,20.0,20.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,25.9
0.29,2.6,100.0,42.71818181818182,10.0,20.0,7.8,1.1553691275167786,25.0,25.13953488372093,39.3
0.65,4.7,25.0,42.71818181818182,20.0,30.0,6.94,1.53,29.0,20.0,14.7
0.45,2.3,20.0,42.71818181818182,16.0,20.0,6.94,1.53,29.0,20.0,49.3
0.5,3.5,100.0,42.71818181818182,25.0,19.0,4.4,1.1553691275167786,36.540740740740745,25.13953488372093,40.0
0.45,4.26,100.0,42.71818181818182,21.5609756097561,22.30243902439024,7.16,0.5,36.540740740740745,25.13953488372093,42.3
0.44,3.3,10.0,37.3,12.0,20.0,10.9,0.6,36.540740740740745,25.13953488372093,53.7
0.36,2.4,0.0,66.0,16.0,16.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,48.9
0.45,2.5,40.0,42.71818181818182,16.0,20.0,6.94,1.53,29.0,20.0,40.9
0.4,2.3,100.0,42.71818181818182,20.0,20.0,4.5,1.1553691275167786,28.5,25.13953488372093,38.7
0.77,3.1,100.0,42.71818181818182,19.0,20.0,4.9,1.1553691275167786,36.540740740740745,25.13953488372093,27.5
0.41,3.1,0.0,42.71818181818182,20.0,25.0,5.158959537572255,0.8,36.540740740740745,25.13953488372093,59.4
0.36,2.2,100.0,66.0,16.0,16.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,45.1
0.82,4.7,100.0,42.71818181818182,22.0,20.0,6.9,1.1553691275167786,36.540740740740745,25.13953488372093,23.6
0.49,5.1,100.0,42.71818181818182,32.0,15.0,4.2,1.1553691275167786,36.540740740740745,25.13953488372093,35.6
0.47,3.6,50.0,42.71818181818182,20.0,25.0,3.6,1.0,36.540740740740745,25.13953488372093,45.3
0.28,2.4,100.0,42.71818181818182,32.0,32.0,6.3,1.1553691275167786,36.540740740740745,25.13953488372093,35.5
0.43,2.9,33.0,42.71818181818182,32.0,19.0,9.3,0.4,36.540740740740745,25.13953488372093,34.1
0.41,1.7,45.0,42.71818181818182,20.0,20.0,4.0,0.7,36.540740740740745,25.13953488372093,53.7
0.5,2.5,20.0,42.71818181818182,16.0,20.0,5.0,2.0,34.0,23.0,43.7
0.42,2.7,0.0,42.71818181818182,19.0,20.0,5.158959537572255,0.2,33.6,25.0,40.0
0.5,4.8,80.0,42.71818181818182,20.0,20.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,15.4
0.51,3.163619047619047,0.0,42.71818181818182,25.0,25.0,3.01,0.57,36.540740740740745,25.13953488372093,29.26
0.5,2.8,50.0,42.71818181818182,25.0,32.0,6.2,1.4,36.540740740740745,25.13953488372093,30.4
0.38,3.0,100.0,42.71818181818182,32.0,32.0,1.8,1.1553691275167786,36.540740740740745,25.13953488372093,38.4
0.65,3.4,0.0,42.71818181818182,16.0,20.0,5.158959537572255,2.0,36.540740740740745,23.0,31.9
0.65,3.5,100.0,42.71818181818182,22.0,20.0,6.4,1.1553691275167786,36.540740740740745,25.13953488372093,36.1
0.4,2.4,0.0,42.71818181818182,19.0,19.0,5.158959537572255,0.7,36.540740740740745,25.13953488372093,33.7
0.45,2.6,0.0,42.71818181818182,19.0,20.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,39.5
0.76,4.5,100.0,42.71818181818182,30.0,32.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,21.2
0.29,2.8,20.0,60.0,10.0,10.0,4.9,2.1,25.2,24.8,70.5
0.41,3.163619047619047,25.0,42.71818181818182,21.5609756097561,22.30243902439024,5.1,0.5,36.540740740740745,25.13953488372093,38.1
0.33,3.163619047619047,100.0,42.71818181818182,25.0,25.0,3.01,0.57,36.540740740740745,25.13953488372093,42.44
